city,auction_house,exhibition,image_url,artist,title,price,low_estimate,signature,size,created,auction_lot,auction_date,medium
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/263_1.jpg,Wallace Berman,UNTITLED,"$43,750","$40,000","$60,000",Signed,"24.00"" x 26.25",c.1965,263,11/12/2015,Verifax collage / Board
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/264_1.jpg,Christo & Jean Claude,STORE FRONT (PROJECT),"$100,000","$80,000","$120,000",Signed and Titled,"29.00"" x 22.50",1964,264,11/12/2015,",acrylic, Mylar, fabric, wire, nails, ink and graphite / Cardboard"
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/268_1.jpg,Alex Katz,YELLOW HOUSE,"$40,000","$30,000","$40,000",Signed and Dated,"14.00"" x 12.00",1982,268,11/12/2015,Oil / Board
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/270_1.jpg,Alice Neel,UNTITLED (WOMAN WITH A CAT),-not sold-,"$60,000","$80,000",Signed and Dated,"21.00"" x 17.50",1932,270,11/12/2015,Oil / Canvas
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/272_1.jpg,Alexander (Sandy) Calder,UNTITLED,"$112,500","$40,000","$60,000",Signed and Dated,"29.38"" x 43.25",1967,272,11/12/2015,Gouache / Paper
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/274_1.jpg,Alexander (Sandy) Calder,UNTITLED,"$112,500","$40,000","$60,000",Signed and Dated,"29.50"" x 42.38",1970,274,11/12/2015,Gouache and ink / Paper
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/275_1.jpg,Alexander (Sandy) Calder,UNTITLED,"$112,500","$40,000","$60,000",Signed and Dated,"29.50"" x 42.00",1970,275,11/12/2015,Gouache / Paper
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/285_1.jpg,Alexander (Sandy) Calder,UNTITLED,"$12,500","$12,000","$18,000",Signed,"17.00"" x 14.00",1925,285,11/12/2015,Watercolor and ink / Paper
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/286_1.jpg,Alexander (Sandy) Calder,UNTITLED,"$106,250","$25,000","$35,000",Signed and Dated,"29.63"" x 10.88",1974,286,11/12/2015,Gouache / Paper
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/288_1.jpg,Hans Hofmann,FLOWERING TREE,"$42,500","$30,000","$40,000",Signed Initials,"9.75"" x 8.00",1952,288,11/12/2015,Oil / Board
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/290_1.jpg,Sam Lewis Francis,UNTITLED,"$225,000","$180,000","$250,000",Signed and Dated,"30.50"" x 45.00",1963,290,11/12/2015,Acrylic and gouache / Paper
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/291_1.jpg,Sol LeWitt,"YELLOW LINES FROM THE CENTER, RED LINES FROM ONE SIDE",-not sold-,"$15,000","$25,000",Signed and Titled,"13.50"" x 9.75",1975,291,11/12/2015,"Pencil ,colored pencil and pen / Paper"
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/292_1.jpg,Anne Dean Truitt,LARK RISE,"$87,500","$50,000","$70,000",Signed and Titled,"18.00"" x 84.00",1981,292,11/12/2015,Acrylic / Canvas
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/294_1.jpg,Kenneth Noland,MIDNIGHT,"$125,000","$70,000","$90,000",Signed and Titled,"73.25"" x 33.50",1979-2004,294,11/12/2015,Acrylic / Canvas
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/295_1.jpg,Victor Vasarely,NEBULUS,"$274,000","$100,000","$150,000",Signed and Dated,"79.00"" x 78.25",1978,295,11/12/2015,Acrylic / Canvas
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/296_1.jpg,Lucio Fontana,ARLECCHINO,"$32,500","$25,000","$35,000",Signed Initials,"6.25"" x 4.25"" x 3.25",not given,296,11/12/2015,Ceramic
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/297_1.jpg,Salvatore Scarpitta,UNTITLED,"$47,500","$30,000","$40,000",Signed and Dated,"15.50"" x 21.63",1957,297,11/12/2015,"Oil , bandages, and glue / Canvas"
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/298_1.jpg,Richard Tuttle,WINTER LIGHT,"$21,250","$18,000","$25,000",Signed and Titled,"32.50"" x 17.00"" x 2.00",1985,298,11/12/2015,"Acrylic ,spraypaint, cardboard, newspaper, wire"
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/300_1.jpg,Frank Stella,BERMUDA PETREL,"$212,500","$40,000","$60,000",Signed and Dated,"20.50"" x 28.00",1977,300,11/12/2015,"Acrylic ,glitter and printed paper on corrugated cardboard and tycore board"
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/304_1.jpg,Paul Jenkins,PHENOMENA CATHERINE WHEEL,"$12,500","$7,000","$10,000",Signed,"43.50"" x 31.00",1981,304,11/12/2015,Watercolor / Paper
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/305_1.jpg,Alexander (Sandy) Calder,RECEDING BLOCKS,"$56,250","$25,000","$35,000",Signed and Dated,"22.75"" x 31.00",1944,305,11/12/2015,Gouache and ink / Paper
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/401_1.jpg,Eddie Martinez,RIDER IN WHITE,"$31,250","$25,000","$35,000",Signed Initials,"40.00"" x 30.00",2014,401,11/12/2015,"Oil ,silkscreen ink, enamel and spray paint / Canvas"
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/402_1.jpg,Michael Williams,SCOTT WHATEVER 2,"$93,750","$50,000","$70,000",Signed and Titled,"74.25"" x 56.00",2012,402,11/12/2015,Oil / Canvas
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/406_1.jpg,Jeff Elrod,CALENDAR,"$65,000","$40,000","$60,000",Signed and Dated,"43.13"" x 32.00",2012,406,11/12/2015,Acrylic and ink / Canvas
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/407_1.jpg,Cyprien Gaillard,UNTITLED,"$193,750","$100,000","$150,000",Signed on Reverse,"32.00"" x 27.63",2011,407,11/12/2015,Oil and screenprint / Canvas
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/408_1.jpg,Robert Longo,UNTITLED (JO),"$454,000","$350,000","$450,000",Inscribed and Signed,"97.75"" x 49.75",1982,408,11/12/2015,"Charcoal ,graphite and ink / Paper"
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/415_1.jpg,Mark Grotjahn,UNTITLED (BLUSH PINK AND KELLY GREEN BUTTERFLY 45.13),"$1,030,000","$700,000","$900,000",Signed and Titled,"76.00"" x 42.00",2013,415,11/12/2015,Colored Pencil / Paper
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/417_1.jpg,Nate Lowman,UNTITLED (MARILYN),"$646,000","$400,000","$600,000",Signed and Dated,Dimensions not available,2011,417,11/12/2015,Oil and alkyd / Canvas
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/419_1.jpg,Wade Guyton,UNTITLED,"$466,000","$300,000","$400,000",Signed and Dated,"30.00"" x 26.00",2006,419,11/12/2015,Epson UltraChrome inkjet on linen
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/420_1.jpg,Marlene Dumas,"DEATH, DUMB AND BLIND","$150,000","$150,000","$200,000",Signed and Titled,"49.00"" x 27.50",1998,420,11/12/2015,Acrylic / Paper
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/421_1.jpg,Rudolf Stingel,UNTITLED,-not sold-,"$600,000","$800,000",Signed and Dated,"67.00"" x 53.25",2007,421,11/12/2015,Oil and enamel / Canvas
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/422_1.jpg,Richard Price,CRAZY THREE,"$466,000","$350,000","$450,000",Signed and Titled,"36.00"" x 48.00",2004,422,11/12/2015,"Acrylic ,ink and paper collage / Canvas"
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/423_1.jpg,Glenn Ligon,NO ROOM (GOLD) #39,"$231,250","$150,000","$200,000",Signed and Titled,"39.00"" x 32.00",2007,423,11/12/2015,Oil and acrylic / Canvas
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/425_1.jpg,Yoshitomo Nara,PORTRAIT OF AE,"$1,450,000","$600,000","$800,000",Signed and Dated,"31.50"" x 25.63",2009,425,11/12/2015,Acrylic / Canvas
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/426_1.jpg,George Condo,NIGHT RIDER,"$346,000","$300,000","$400,000",Signed and Dated,"80.00"" x 80.00",2008,426,11/12/2015,Oil / Canvas
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/428_1.jpg,Jim Hodges,TRAVELLER (17 parts),"$162,500","$200,000","$300,000",Inscribed,"72.00"" x 58.00",2002,428,11/12/2015,mirror on metal and wood
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/429_1.jpg,Robert Gober,UNTITLED (SINK),-not sold-,"$50,000","$70,000",Signed and Dated,"10.38"" x 8.13",1984,429,11/12/2015,Pencil / Paper
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/430_1.jpg,Sean Scully,UNTITLED,"$65,000","$50,000","$70,000",Signed and Dated,"22.38"" x 30.13",1989,430,11/12/2015,Pastel / Paper
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/432_1.jpg,Mary Ann Corse,UNTITLED,"$75,000","$40,000","$60,000",Signed and Dated,"59.63"" x 72.00",1998,432,11/12/2015,glass microspheres in acrylic / Canvas
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/433_1.jpg,Steven Parrino,UNTITLED,"$200,000","$150,000","$200,000",Stamped,"30.00"" x 30.00",1998,433,11/12/2015,Acrylic / Canvas
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/434_1.jpg,Robert Longo,UNTITLED (TITAN),"$187,500","$180,000","$250,000",Signed and Dated,"92.00"" x 60.00",2005,434,11/12/2015,Cardboard / Paper
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/436_1.jpg,Jenny Holzer,THE CONVERSATION ALWAYS TURNS TO LIVING LONG ENOUGH TO HAVE FUN,"$75,000","$40,000","$60,000",Stamped,"17.00"" x 23.00"" x 15.80",2005,436,11/12/2015,Marble
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/438_1.jpg,Elizabeth Peyton,CRAIG AS SAINT LOUP,"$250,000","$80,000","$120,000",Signed and Titled,"12.00"" x 9.13",1997,438,11/12/2015,Watercolor and pencil / Paper
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/439_1.jpg,Damien Hirst,BEAUTIFUL VISION,"$730,000","$500,000","$700,000",Signed and Dated,"106.00"" x 106.00",2006,439,11/12/2015,butterflies and household gloss / Canvas
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/440_1.jpg,Nigel Cooke,LOVERS WITH CLOWN STORM,-not sold-,"$100,000","$150,000",Signed and Titled,"90.50"" x 90.50",2011-12,440,11/12/2015,Oil / Linen
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/445_1.jpg,Takashi Murakami,RAINBOW FLOWER - 4 O'CLOCK,"$156,250","$60,000","$80,000",Signed and Dated,"15.50"" x 15.50",2007,445,11/12/2015,Acrylic and platinum leaf / Canvas on board
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/446_1.jpg,Takashi Murakami,FLOWER OF JOY - LAMUNE,"$81,250","$60,000","$80,000",Signed and Dated,"15.50"" x 15.50",2007,446,11/12/2015,Acrylic and platinum leaf / Canvas on board
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/448_1.jpg,KAWS,UNTITLED MBFJ2,"$187,500","$120,000","$180,000",Signed and Dated,"48.00"" x 31.00",2014,448,11/12/2015,Acrylic / Canvas on board
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/449_1.jpg,Yoshitomo Nara,A LITTLE KAMIKAZE,"$1,030,000","$600,000","$800,000",Signed and Titled,"39.25"" x 51.25",1993,449,11/12/2015,Acrylic / Canvas
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/451_1.jpg,Yoshitomo Nara,UNTITLED,"$137,500","$70,000","$90,000",Signed and Dated,"18.25"" x 11.50",1998,451,11/12/2015,Acrylic and color pencil / Paper
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/454_1.jpg,Kour Pour,FADED,"$112,500","$50,000","$70,000",Signed and Dated,"84.00"" x 60.00",2011,454,11/12/2015,Acrylic / Canvas on board
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/455_1.jpg,Sterling Ruby,BC (3732),"$175,000","$150,000","$200,000",Signed Initials,"84.00"" x 84.00",2012,455,11/12/2015,"Collage ,paint, bleach, glue and fabric / Wood"
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/462_1.jpg,Dan Colen,"COCKSUCKER,"" THE MAN SAID","$25,000","$20,000","$30,000",Signed and Dated,"39.75"" x 30.00",2009,462,11/12/2015,lipstick / Paper
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/463_1.jpg,Dan Colen,TWO THINGS I RARELY SEE THE INSIDE OF,"$87,500","$60,000","$80,000",Signed and Titled,"36.00"" x 30.00",2008,463,11/12/2015,bubble gum / Canvas
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/464_1.jpg,Alex Israel,UNTITLED (FLAT),-not sold-,"$300,000","$400,000",Signed and Dated,"95.75"" x 72.00"" x 2.75",2012,464,11/12/2015,"Acrylic on stucco, wood and aluminum frame"
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/465_1.jpg,Andreas Gursky,DUBAI WORLD II,-not sold-,"$450,000","$650,000",Signed on Reverse,"121.00"" x 87.75",2007,465,11/12/2015,c-print in artist's chosen frame
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/469_1.jpg,R H Quaytman,UNTITLED (DONUT),"$37,500","$30,000","$40,000",Signed and Titled,"12.38"" x 20.00",2004,469,11/12/2015,Oil and silkscreen / Wood
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/471_1.jpg,Thomas Ruff,NUDES YV16,"$50,000","$40,000","$60,000",Signed and Dated,"61.25"" x 43.38",2000,471,11/12/2015,laserchrome print face-mounted to Diasec
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/472_1.jpg,Mickalene Thomas,"COME WITH ME, NOW I NEED YOU","$175,000","$60,000","$80,000",Signed and Titled,"72.00"" x 60.00",2007,472,11/12/2015,"Acrylic , rhinestones and enamel / Panel"
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/474_1.jpg,Dan Colen,UNTITLED,-not sold-,"$70,000","$90,000",Signed and Dated,"24.00"" x 20.00",2007,474,11/12/2015,Oil / Canvas
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/475_1.jpg,KAWS,UNTITLED (MBFT4),-not sold-,"$100,000","$150,000",Signed and Dated,"58.00"" x 48.00",2015,475,11/12/2015,Acrylic / Canvas
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/477_1.jpg,Takashi Murakami,UNTITLED,-not sold-,"$300,000","$400,000",Signed and Dated,"29.88"" x 24.00",1997,477,11/12/2015,Acrylic / Canvas
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/478_1.jpg,Yoshitomo Nara,WAY,"$18,750","$20,000","$30,000",Signed and Dated,"11.00"" x 8.50",2000,478,11/12/2015,Colored Pencil and acrylic / Paper
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/479_1.jpg,Raymond (St Pettibone) Pettibon,NO TITLE (A FEW FRIENDS...),"$17,500","$15,000","$20,000",Signed and Dated,"15.00"" x 23.50",2005,479,11/12/2015,Pen and ink / Paper
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/480_1.jpg,Raymond (St Pettibone) Pettibon,UNTITLED (IT REDUCED THE...),"$50,000","$8,000","$12,000",Signed and Dated,"12.00"" x 18.00",1999,480,11/12/2015,Ink / Paper
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/481_1.jpg,Raymond (St Pettibone) Pettibon,NO TITLE (AND WHEN I...),"$11,250","$10,000","$15,000",Signed and Dated,"14.00"" x 17.00",2004,481,11/12/2015,Pen and ink / Paper
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/484_1.jpg,David Hammons,STANDING ROOM ONLY,"$418,000","$400,000","$600,000",Signed and Dated,"31.63"" x 15.75"" x 15.75",1996,484,11/12/2015,taxidermied cat on wooden drum
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/489_1.jpg,Rebecca Horn,BOYS WITH ONE SPOON TOO MUCH,"$43,750","$30,000","$40,000",Signed and Dated,"43.75"" x 27.75"" x 7.63",1996,489,11/12/2015,"wall-mounted vitrine of glass, metal frames and electric motor"
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/490_1.jpg,Wolfgang Laib,MAISON DE RIZ (RICE HOUSE),"$31,250","$30,000","$40,000",Signed and Dated,"7.25"" x 49.63"" x 8.25",1989,490,11/12/2015,marble and rice
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/492_1.jpg,Robert Therrien,NO TITLE (HAT),"$37,500","$40,000","$60,000",Inscribed,"50.75"" x 12.63"" x 7.75",1990,492,11/12/2015,"Silver on bronze, enamel on wood"
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/493_1.jpg,Dexter Dalwood,OSCAR WILDE,"$43,750","$40,000","$60,000",Signed and Dated,"81.38"" x 52.00",2003,493,11/12/2015,Oil / Canvas
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/494_1.jpg,Gunther Forg,COLOR FIELD (105/86),"$62,500","$60,000","$80,000",Signed and Dated,"23.63"" x 78.75",1986,494,11/12/2015,Oil and acrylic / Wood
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/495_1.jpg,Georg Kern Baselitz,GROSSE ROSE,"$298,000","$180,000","$250,000",Signed and Titled,"57.50"" x 45.00",1997,495,11/12/2015,Oil / Canvas
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/496_1.jpg,Rineke Dijkstra,"ALMERISA, ASYLUM CENTER, LEIDEN, THE NETHERLANDS [EIGHT WORKS]","$93,750","$80,000","$120,000",Signed and Dated,Dimensions not available,not given,496,11/12/2015,Installation
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/499_1.jpg,Andre Butzer,UNTITLED,"$53,750","$30,000","$40,000",Signed and Dated,"71.00"" x 118.00",2007,499,11/12/2015,Oil / Canvas
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/500_1.jpg,Kiki Smith,UNTITLED (BUST),"$35,000","$40,000","$60,000",Signed and Dated,"22.00"" x 18.00"" x 10.00",1993,500,11/12/2015,"papier mach, Nepal paper and wood"
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/502_1.jpg,Georg Kern Baselitz,DREISTREIFENMALER (REMIX),"$346,000","$300,000","$400,000",Signed and Titled,"119.75"" x 98.38",2007,502,11/12/2015,Oil / Canvas
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/503_1.jpg,Friedrich Kunath,STRANGE THINGS WILL HAPPEN,"$25,000","$25,000","$35,000",Signed and Dated,"73.00"" x 41.00",2010,503,11/12/2015,Mixed Media / Canvas
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/508_1.jpg,Glenn Ligon,STUDY FOR NEGRO SUNSHINE II #2,"$35,000","$20,000","$30,000",Signed and Titled,"10.00"" x 8.00",2011,508,11/12/2015,Oilstick and gesso / Paper
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/510_1.jpg,George Condo,MODERN CAVE MAN,"$200,000","$180,000","$250,000",Signed and Dated,"52.75"" x 46.00",2007,510,11/12/2015,Acrylic and charcoal / Canvas
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/512_1.jpg,Luc Tuymans,DIVING GOGGLES,-not sold-,"$150,000","$200,000",Signed and Dated,"22.25"" x 21.25",1996,512,11/12/2015,Oil / Canvas
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/513_1.jpg,Robert Gober,UNTITLED,-not sold-,"$50,000","$70,000",Signed and Dated,"5.50"" x 7.50",1988,513,11/12/2015,fabric paint / Linen
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/514_1.jpg,Peter Halley,DOUBLE ELVIS,"$262,000","$70,000","$90,000",Signed and Dated,"98.00"" x 190.00",1990,514,11/12/2015,"Dayglo acrylic, acrylic and Roll-A-Tex / Canvas"
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/516_1.jpg,Philip Taaffe,PAINTING WITH GEMSTONES,-not sold-,"$50,000","$70,000",Signed and Titled,"59.50"" x 80.00",2003-06,516,11/12/2015,Mixed Media / Canvas
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/518_1.jpg,Peter Halley,Cell,"$125,000","$100,000","$150,000",Signed and Titled,"60.25"" x 80.25",1983,518,11/12/2015,Mixed Media / Canvas
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/519_1.jpg,Ross Bleckner,BLUE NET,-not sold-,"$35,000","$45,000",Signed and Titled,"60.00"" x 60.00",2000,519,11/12/2015,Acrylic / Linen
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/520_1.jpg,Ross Bleckner,UNTITLED,"$75,000","$40,000","$60,000",Signed and Dated,"84.00"" x 72.00",1993,520,11/12/2015,Acrylic / Linen
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/521_1.jpg,Robert Longo,STUDY OF DOG TEST,"$30,000","$20,000","$30,000",Signed and Titled,"24.00"" x 17.38",2003,521,11/12/2015,Ink and charcoal / Vellum
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/522_1.jpg,Jenny Holzer,ARNO,"$60,000","$35,000","$45,000",Signed,"109.00"" x 5.25"" x 4.00",1996,522,11/12/2015,electronic LED sign
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/523_1.jpg,Barbara Kruger,UNTITLED (YOU CAN'T DRAG YOUR MONEY INTO THE GRAVE WITH YOU),"$250,000","$250,000","$350,000",Signed on Stretcher,"109.00"" x 148.75",1990,523,11/12/2015,photographic silkscreen / Vinyl
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/524_1.jpg,George Condo,PRIEST IN THE SNOW,-not sold-,"$150,000","$200,000",Signed and Dated,"48.25"" x 36.00",2004,524,11/12/2015,Oil / Canvas
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/526_1.jpg,Wayne Gonzales,UNTITLED (WHITE HOUSE - SILVER),"$8,750","$10,000","$12,000",Signed and Dated,"41.00"" x 52.25",2003,526,11/12/2015,Acrylic / Canvas
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/533_1.jpg,Elger Esser,"MARMORAIA, ITALIA",-not sold-,"$20,000","$30,000",Signed,Dimensions not available,2002,533,11/12/2015,c-print face-mounted to Diasec
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/534_1.jpg,Matthew Barney,CREMASTER 3,-not sold-,"$30,000","$50,000",Signed and Dated,"54.00"" x 44.00",2002,534,11/12/2015,c-print in self-lubricating frame
New York,Sotheby's New York,contemporary art day auction 11/12/2015,http://www.askart.com/photos/2015/SNY20151112_93142/538_1.jpg,Vik Muniz,"LAS MENINAS, AFTER VELZQUEZ (FROM PICTURES OF CHOCOLATE)","$100,000","$80,000","$100,000",Signed and Dated,"59.50"" x 51.50",2002,538,11/12/2015,cibachrome print mounted on Sintra
